"name","type","company","description","amount","notes"
"Gisèle Jourda","pro5",,"2010 : activité parlementaire JP Dupré","2010 : 22684 EUR par an ",
"Gisèle Jourda","pro5",,"2010 : commune, cadre territorial Limoux","2010 : 38477 EUR par an ",
"Gisèle Jourda","pro5",,"2011 : activité parlementaire JP Dupré","2011 : 22709 EUR par an ",
"Gisèle Jourda","pro5",,"2011 : centre de gestion Fonction publique territoriale (FPT)","2011 : 1240 EUR par an ",
"Gisèle Jourda","pro5",,"2011 : commune, cadre territorial Limoux","2011 : 39164 EUR par an ",
"Gisèle Jourda","pro5",,"2012 : activité parlementaire","2012 : 23200 EUR par an ",
"Gisèle Jourda","pro5",,"2012 : centre de gestion","2012 : 1001 EUR par an ",
"Gisèle Jourda","pro5",,"2012 : commune","2012 : 47908 EUR par an ",
"Gisèle Jourda","pro5",,"2013 : centre de gestion","2013 : 3308 EUR ",
"Gisèle Jourda","pro5",,"2013 : Commune de Limoux","2013 : 53986 EUR",
"Gisèle Jourda","pro5",,"2013 : députation","2013 : 28766 EUR",
"Guénhaël Huet","pro5",,,,
"Guillaume Arnell","pro5",,"2010 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin","43742 EUR par an","imposables"
"Guillaume Arnell","pro5",,"2011 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin","44258 EUR par an","imposables"
"Guillaume Arnell","pro5",,"2012 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin","44846 EUR par an","imposables"
"Guillaume Arnell","pro5",,"2013 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin","45454 EUR par an","imposables"
"Guillaume Arnell","pro5",,"2014 : Cadre administratif à l'A.V.D.R.A. centre de dialyse à Saint Martin","39589 EUR par an","imposables"
"Guillaume Bachelay","pro5",,"Collaborateur de député (L. Fabius)","2009 : 60757,92 EUR","5063,16 EUR net mensuel"
"Guillaume Bachelay","pro5",,"Collaborateur de député (L. Fabius)","2010 : 61216,44 EUR","5101,37 EUR net mensuel"
"Guillaume Bachelay","pro5",,"Collaborateur de député (L. Fabius)","2011 : 64142,40 EUR","5345,20 EUR net mensuel"
"Guillaume Bachelay","pro5",,"Collaborateur de député (L. Fabius)","2012 : 64142,40 EUR","5345,20 EUR net mensuel Perçu 31 615,96 EUR solde de tout compte fin contrat"
"Guillaume Bachelay","pro5",,"Député","2013 : 64434,72 EUR","Indemnité parlementaire : base 5514,68 EUR net 5369,56 EUR"
"Guillaume Chevrollier","pro5",,"Directeur de programme immobilier SMC KHORGEST","2009 : 49263 EUR","2009 - 49263 net imposable 2010 - 52084 net imposable 2011 - 55661 net imposable 2012 - 37226 net imposable 2013 - 14185 net imposable"
"Guillaume Chevrollier","pro5",,"Directeur de programme immobilier SMC KHORGEST","2010 : 52084 EUR","2009 - 49263 net imposable 2010 - 52084 net imposable 2011 - 55661 net imposable 2012 - 37226 net imposable 2013 - 14185 net imposable"
"Guillaume Chevrollier","pro5",,"Directeur de programme immobilier SMC KHORGEST","2011 : 55661 EUR","2009 - 49263 net imposable 2010 - 52084 net imposable 2011 - 55661 net imposable 2012 - 37226 net imposable 2013 - 14185 net imposable"
"Guillaume Chevrollier","pro5",,"Directeur de programme immobilier SMC KHORGEST","2012 : 37226 EUR","2009 - 49263 net imposable 2010 - 52084 net imposable 2011 - 55661 net imposable 2012 - 37226 net imposable 2013 - 14185 net imposable"
"Guillaume Chevrollier","pro5",,"Directeur de programme immobilier SMC KHORGEST","2013 : 14185 EUR","2009 - 49263 net imposable 2010 - 52084 net imposable 2011 - 55661 net imposable 2012 - 37226 net imposable 2013 - 14185 net imposable"
"Guillaume Garot","pro5",,,,
"Guillaume Larrivé ","pro5",,"Maître des requêtes au Conseil d'Etat jusqu'au 17/06/2012","2007 : 78536 EUR par an ",
"Guillaume Larrivé ","pro5",,"Maître des requêtes au Conseil d'Etat jusqu'au 17/06/2012","2008 : 89477 EUR par an ",
"Guillaume Larrivé ","pro5",,"Maître des requêtes au Conseil d'Etat jusqu'au 17/06/2012","2009 : 94655 EUR par an ",
"Guillaume Larrivé ","pro5",,"Maître des requêtes au Conseil d'Etat jusqu'au 17/06/2012","2010 : 108803 EUR par an ",
"Guillaume Larrivé ","pro5",,"Maître des requêtes au Conseil d'Etat jusqu'au 17/06/2012","2011 : 82114 EUR par an ",
"Guy Bailliart","pro5",,"PUBLICATION A VENIR","PUBLICATION A VENIR",
"Guy Chambefort","pro5",,"Retraité de l'Education Nationale",,
"Guy Delcourt","pro5",,,,
"Guy Geoffroy","pro5",,,,
"Guy Teissier","pro5",,,,
"Guy-Dominique Kennel","pro5",,"2009 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET)","2009 : 44843,62 EUR par an ","Correspond au montant imposable"
"Guy-Dominique Kennel","pro5",,"2010 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET)","2010 : 45783,35 EUR par an ","Correspond au montant imposable"
"Guy-Dominique Kennel","pro5",,"2011 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET)","2011 : 46084,13 EUR par an ","Correspond au montant imposable"
"Guy-Dominique Kennel","pro5",,"2012 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET)","2012 : 46449,00 EUR par an ","Correspond au montant imposable"
"Guy-Dominique Kennel","pro5",,"2013 : Inspecteur de l'Education Nationale Enseignement Technique (IEN-ET)","2013 : 46141,23 EUR par an ","Correspond au montant imposable"
"Guy-Michel Chauveau","pro5",,,,
"Gwendal Rouillard","pro5",,"Chargé de mission au cabinet du Président du Conseil Régional de Bretagne de 11/2007 à 04/2011 ","32400 EUR par an",
"Gwendal Rouillard","pro5",,"Député depuis le 04/05/2011 suite au décès de ma prédécesseure Françoise Olivier-Coupeau",,
"Gwenegan Bui","pro5",,"Adjoint DGS Région Bretagne en charge préfiguration EPF Bretagne (16/02/2009 - 31/08/2009)","48249,96 EUR","4020,83 EUR"
"Gwenegan Bui","pro5",,"Chargé mission cabinet Jean Yves Le Drian - Président Région Bretagne (01/05/2004 - 15/02/2009)","46145,88 EUR",
"Hélène Conway-Mouret","pro5",,"IHEDN (1 trimestre en 2010)","2010 : 1500 EUR","Salaire : EUR 1500 pour le trimestre"
"Hélène Conway-Mouret","pro5",,"Ministre déléguée (2012-2014)","95328 EUR par an","Traitement : EUR 7944 par mois"
"Hélène Conway-Mouret","pro5",,"Professeur d'université au Dublin Institute of Technology (2009 - 2012)","64800 EUR","Salaire : EUR 5400 par mois"
"Hélène Conway-Mouret","pro5",,"Professeur Invité à Paris I Panthéon-Sorbonne (15h de cours / an) (2009 - 2012)","2009 - 2012 : 607 EUR par an ","Salaire : EUR 607 par an pour 15h de cours"
"Hélène Geoffroy","pro5",,"Chargé de recherche à l'École nationale des travaux publics de l'État. En détachement depuis le 20 juin 2012","2009-2012: 156719 EUR par an ",
"Henri Cabanel","pro5",,"Viticulteur","2013 : 18778 EUR par an",
"Henri Cabanel","pro5",,"Viticulteur","2012 : 7513 EUR par an",
"Henri Cabanel","pro5",,"Viticulteur","2011 : 18258 EUR par an",
"Henri Cabanel","pro5",,"Viticulteur","2010 : 16871 EUR par an",
"Henri de Raincourt","pro5",,,,
"Henri Emmanuelli","pro5",,,,
"Henri Guaino","pro5",,"Conseiller spécial du Président de la République (05/2007 - 05/2012)","214216,92 EUR par an + primes","nette mensuelle (2012) 17851,41 Eur (Traitement) +primes"
"Henri Jibrayel","pro5",,,,
"Henri Tandonnet","pro5",,"Avocat","2010 : 75336 EUR",
"Henri Tandonnet","pro5",,"Avocat","2009 : 98546 EUR",
"Henri Tandonnet","pro5",,"Avocat","2012 : 160016 EUR",
"Henri Tandonnet","pro5",,"Avoué à la cour","2011 : 71251 EUR",
"Henri Tandonnet","pro5",,"Retraité depuis 2013",,
"Hermeline Malherbe","pro5",,,,
"Hervé Féron","pro5",,"Auteur","1000 EUR par an.","J'ecris encore ponctuellement quelques textes ou musiques, ce qui me rapporte des droits Sacem lorsque ces œuvres sont interprétées _ moins de 1000 EUR par an"
"Hervé Gaymard","pro5",,"Avocat au Barreau de Paris, Cabinet Denton Wilde Sapte, devenu SNR Denton (30/04/2009 au 30/01/2011)","120000 EUR par an","10 000 EUR bruts mensuels ( avant cotisations sociales RSI-CNBF-URSSAF et impôt sur le revenu)"
"Hervé Mariton","pro5",,,,
"Hervé Marseille","pro5",,"2005-2009 : conseiller d'Etat en service extraordinaire","24901,8 EUR par an ","2075,15 EUR brut par mois"
"Hervé Marseille","pro5",,"2009 : collaborateur juridique cabinet d'avocats","216832 EUR par an ","30976 EUR brut par mois, de juin à décembre"
"Hervé Maurey","pro5",,,,
"Hervé Morin","pro5",,"Avocat",,"Je n'ai pas eu le temps d'exercer l'activité. J'ai demandé mon inscription en octobre 2013"
"Hervé Pellois","pro5",,"Ingénieur Chambre d'Agriculture 56 (jusqu'à 03/2011) temps partiel (0,4)","12576 EUR par an","1048 EUR  par  mois"
"Hervé Poher","pro5",,,,
"Hilarion Vendegou","pro5",,,,
"Hubert Falco","pro5",,,,
"Hugues Fourage","pro5",,"Directeur adjoint Chambre consulaire","2009 : 34 661  EUR",
"Hugues Fourage","pro5",,"Directeur adjoint Chambre consulaire","2010 : 4 416  EUR",
"Hugues Portelli","pro5",,"Avocat au barreau de Paris",,
"Hugues Portelli","pro5",,"Professeur des universités","61455,48 EUR","5121,29 EUR net  par  mois"
"Huguette Bello","pro5",,,,
"Ibrahim Aboubacar","pro5",,"Directeur Général CCI de Mayotte","60000 EUR par an","5000 EUR par mois"
"Isabelle Attard","pro5",,"Directrice Musée Tapisserie de Bayeux","2010 : 33216 EUR","2010 : 2768 EUR par mois 2009: 2711 EUR par mois 2008: 2603 EUR par mois 2007: 2121 EUR par mois"
"Isabelle Attard","pro5",,"Directrice Musée Tapisserie de Bayeux","2009 : 32532 EUR","2010: 2768 EUR par mois 2009: 2711 EUR par mois 2008: 2603 EUR par mois 2007: 2121 EUR par mois"
"Isabelle Attard","pro5",,"Directrice Musée Tapisserie de Bayeux","2008 : 31236 EUR","2010: 2768 EUR par mois 2009: 2711 EUR par mois 2008: 2603 EUR par mois 2007: 2121 EUR par mois"
"Isabelle Attard","pro5",,"Directrice Musée Tapisserie de Bayeux","2007 : 25452 EUR","2010: 2768 EUR par mois 2009: 2711 EUR par mois 2008: 2603 EUR par mois 2007: 2121 EUR par mois"
"Isabelle Bruneau","pro5",,"Enseignante SES depuis 1989-1990","27600 EUR par an","idem en fonction de la progression de carrière"
"Isabelle Debré","pro5",,,,
"Isabelle Le Callennec","pro5",,"Collaborateur parlementaire (jusqu'au 19/06/2012)","2010-2012 : 51200 par an","4200 euros net jusque 5000 euros ( avec progression à deux reprises) (mensuel)"
"Jackie Pierre","pro5",,,,
"Jacky Deromedi","pro5",,"Managing Director APRIM FAR EAST PTE LTD","2014: 192384 EUR par an","2014: 16032 EUR net par mois"
"Jacqueline Fraysse","pro5",,"Médecin cardiologue vacataire en centre de santé (jusqu'en 02/2012)","22800 EUR par an",
"Jacqueline Gourault","pro5",,,,
"Jacqueline Maquet","pro5",,,,
"Jacques Alain Bénisti","pro5",,,,
"Jacques Bigot","pro5",,"2010 : Avocat ","7078 EUR par an","net perçu"
"Jacques Bigot","pro5",,"2011 : Avocat ","18000 EUR par an","net perçu"
"Jacques Bigot","pro5",,"2012 : Avocat ","18665 EUR par an","net perçu"
"Jacques Bigot","pro5",,"2013 : Avocat ","4500 EUR par an","net perçu"
"Jacques Bompard","pro5",,,,
"Jacques Chiron","pro5",,,,
"Jacques Cornano","pro5",,"Professeur de Génie électrique option électrotechnique","2009 : 43 823 EUR ",
"Jacques Cornano","pro5",,"Professeur de Génie électrique option électrotechnique","2010 : 43 888  EUR ",
"Jacques Cornano","pro5",,"Professeur de Génie électrique option électrotechnique","2011 : 41486  EUR ",
"Jacques Cornano","pro5",,"Professeur de Génie électrique option électrotechnique","2012 - 2013 : 0  EUR",
"Jacques Cresta","pro5",,"Cadre CAF Pyrenées orientales","30000 EUR par an",
"Jacques Gautier","pro5",,"Retraité",,
"Jacques Genest","pro5",,,,
"Jacques Gillot","pro5",,"Medecin retraité",,"2009: 5036 EUR Revenus imposables 2010: Retraité"
"Jacques Grosperrin","pro5",,"Professeur","36000 EUR par an","Net depuis le 18/06/2012"
"Jacques Kossowski","pro5",,,,
"Jacques Krabal","pro5",,"Conseiller Général de l'Aisne (fin en 12/12)","27168 EUR par an",
"Jacques Krabal","pro5",,"Député de l'Aisne","64428 EUR par an","5.369 €"
"Jacques Krabal","pro5",,"Maire de Château - Thierry","23856 EUR par an","1.988 €"
"Jacques Krabal","pro5",,"Vice-président de la CCRCT (fin en 09/13)","4296 EUR par an","358 EUR "
"Jacques Lamblin","pro5",,"Néant. (cessation d'activité Cession de clientèle en 12/2006",,
"Jacques Legendre","pro5",,,,
"Jacques Mézard","pro5",,,,
"Jacques Moignard","pro5",,"Educateur spécialisé","28800 EUR par an","2400 EUR par mois"
"Jacques Myard","pro5",,,,
"Jacques Pélissard","pro5",,,,
"Jacques Valax","pro5",,,,
"Jacques-Bernard Magner","pro5",,"Détachement au CG 63 jusqu'en 08/2010","48000 EUR par an","jusqu'à 2010 : 4000 EUR par mois de 2010 à 2011 : 2500 EUR par mois"
"Jacques-Bernard Magner","pro5",,"Professeur des écoles  en poste de 09/2010 à 09/2011","2010 : 30000 EUR","jusqu'à 2010 : 4000 EUR par mois de 2010 à 2011 : 2500 EUR par mois"
"Jacques-Bernard Magner","pro5",,"Professeur des écoles  en poste de 09/2010 à 09/2011","2011 : 30000 EUR","jusqu'à 2010 : 4000 EUR par mois de 2010 à 2011 : 2500 EUR par mois"
"Jean Bizet","pro5",,,,
"Jean Desessard","pro5",,"Sénateur",,"Indemnités parlementaires"
"Jean Glavany","pro5",,"Avocat au cabinet 'Parme' depuis 2011","60935 EUR par an",
"Jean Glavany","pro5",,"Salarié de la société 'Angel' depuis 2003","61506 EUR par an",
"Jean Grellier","pro5",,,,
"Jean Lassalle","pro5",,,,
"Jean Launay","pro5",,,,
"Jean Leonetti","pro5",,,,
"Jean-Baptiste Lemoyne","pro5",,"2010 : secrétaire général délégué du groupe UMP à l'Assemblée nationale","2010 : 73044 EUR par an ","Net"
"Jean-Baptiste Lemoyne","pro5",,"2011 : secrétaire général délégué du groupe UMP à l'Assemblée nationale","2011 : 74760 EUR par an ","Net"
"Jean-Baptiste Lemoyne","pro5",,"2012 : secrétaire général délégué du groupe UMP à l'Assemblée nationale","2012 : 77748 EUR par an ","Net"
"Jean-Baptiste Lemoyne","pro5",,"2013 : secrétaire général délégué du groupe UMP à l'Assemblée nationale","2013 : 75984 EUR par an ","Net"
"Jean-Baptiste Lemoyne","pro5",,"2014 : secrétaire général délégué du groupe UMP à l'Assemblée nationale","2014 : 75768 EUR par an ","Rémunération nette indiquée sur une base annuelle. M. Lemoyne a quitté ses fonctions le 08/09/2014"
"Jean-Charles Taugourdeau","pro5",,"Chef d'entreprise jusqu'au 30/11/2010","2009 : 130445 EUR par an","NÉANT"
"Jean-Charles Taugourdeau","pro5",,"Chef d'entreprise jusqu'au 30/11/2010","2010 : 65223 EUR par an","NÉANT"
"Jean-Christophe Cambadélis","pro5",,,,
"Jean-Christophe Fromantin","pro5",,"PDG EXPORT ENTREPRISES SA (activité arrêtée en 06/ 2012)","2009 : 48535 EUR ",
"Jean-Christophe Fromantin","pro5",,"PDG EXPORT ENTREPRISES SA activité arrêtée en 06/ 2012","2010 : 46974 EUR ",
"Jean-Christophe Fromantin","pro5",,"PDG EXPORT ENTREPRISES SA activité arrêtée en 06/ 2012","2011 : 46312 EUR ",
"Jean-Christophe Fromantin","pro5",,"PDG EXPORT ENTREPRISES SA activité arrêtée en 06/ 2012","2012: 24089 EUR","jusqu'en juin 2012: 24089 EUR"
"Jean-Christophe Lagarde","pro5",,"Député","67602,24 EUR par an","5633,52 EUR par mois"
"Jean-Christophe Lagarde","pro5",,"Maire de Drancy","13221 EUR par an","1101,75 EUR  par  mois"
"Jean-Christophe Lagarde","pro5",,"Vice Président de la communauté d'agglomération du  Bourget","11035,92 EUR par an","919,66 EUR  par  mois"
"Jean-Claude Bouchet","pro5",,,,
"Jean-Claude Boulard","pro5",,,,
"Jean-Claude Buisine","pro5",,,,
"Jean-Claude Carle","pro5",,,,
"Jean-Claude Frécon","pro5",,,,
"Jean-Claude Fruteau","pro5",,,,
"Jean-Claude Gaudin","pro5",,,,
"Jean-Claude Guibal","pro5",,"Député des Alpes-Maritimes",,"Indemnité parlementaire"
"Jean-Claude Guibal","pro5",,"Maire de Menton",,"Indemnité de fonction d'élu local"
"Jean-Claude Guibal","pro5",,"Président de la Communauté d'Agglomération de la Riviera Française D 03/2002 - F 03/2008",,
"Jean-Claude Guibal","pro5",,"Retraité (carrière civile) depuis le 01/06/2011","Pensions de retraite",
"Jean-Claude Guibal","pro5",,"Vice-Président de la Communauté d'Agglomération de la Riviera Français Début 03/2008 - Mandat en cours",,
"Jean-Claude Lenoir","pro5",,,,
"Jean-Claude Leroy","pro5",,,,"NÉANT"
"Jean-Claude Luche","pro5",,,,
"Jean-Claude Mathis","pro5",,,,
"Jean-Claude Mignon","pro5",,,,
"Jean-Claude Perez","pro5",,,,
"Jean-Claude Requier","pro5",,,,
"Jean-David Ciot","pro5",,"Conseiller technique au cabinet du président du conseil général en charge de l'évaluation des politiques publiques (02/2009 à 05/2011)","60839,40 EUR par an",
"Jean-François Copé","pro5",,"Avocat","2011 : 351996 EUR par an",
"Jean-François Copé","pro5",,"Avocat","2010 : 335752 EUR par an",
"Jean-François Copé","pro5",,"Avocat","2009 : 254839 EUR par an",
"Jean-François Copé","pro5",,"Avocat","2008 : 330948 EUR par an",
"Jean-François Copé","pro5",,"Avocat","2007 : 92812 EUR par an",
"Jean-François Copé","pro5",,"Droits d'auteurs (livres)","2009 : 18709 EUR par an",
"Jean-François Husson","pro5",,"Agent Général d'Assurances  (cessation au 31/07/2012)","2009 : 138260 EUR",
"Jean-François Husson","pro5",,"Agent Général d'Assurances  (cessation au 31/07/2012)"," 2010 : 136668 EUR ",
"Jean-François Husson","pro5",,"Agent Général d'Assurances  (cessation au 31/07/2012)","2011: 126340 EUR ",
"Jean-François Husson","pro5",,"Agent Général d'Assurances  (cessation au 31/07/2012)","2012 : 87713 EUR",
"Jean-François Lamour","pro5",,,,
"Jean-François Longeot","pro5",,,,
"Jean-François Mancel","pro5",,,,
"Jean-François Mayet","pro5",,,,
"Jean-Frédéric Poisson","pro5",,"Gérant de l'EURL","52000 EUR par an",
"Jeanine Dubié","pro5",,"Idem",,
"Jean-Jacques Bridey","pro5",,,,
"Jean-Jacques Candelier","pro5",,,,
"Jean-Jacques Cottel","pro5",,,,
"Jean-Jacques Filleul","pro5",,,,
"Jean-Jacques Guillet","pro5",,,,
"Jean-Jacques Lasserre","pro5",,,,
"Jean-Jacques Lozach","pro5",,,,"NÉANT"
"Jean-Jacques Panunzi","pro5",,,,
"Jean-Jacques Urvoas","pro5",,"Enseignant",,
"Jean-Jacques Urvoas","pro5",,,,"Publication d'ouvrages en 2011 et 2012"
"Jean-Jacques Vlody","pro5",,"Enseignant","45474 EUR par an",
"Jean-Léonce Dupont","pro5",,,,
"Jean-Louis Bricout","pro5",,"Collaborateur parlementaire de M Balligand","2009 : 20662  EUR",
"Jean-Louis Bricout","pro5",,"Collaborateur parlementaire de M Balligand","2012 : 4527  EUR ",
"Jean-Louis Bricout","pro5",,"Collaborateur parlementaire de M Balligand","2011 : 2807  EUR ",
"Jean-Louis Bricout","pro5",,"Collaborateur parlementaire de M Balligand","2010 : 8331  EUR ",
"Jean-Louis Bricout","pro5",,"Conseiller région Picardie (26/03/2010 au 31 07/ 2012)","25084,92 EUR par an",
"Jean-Louis Bricout","pro5",,"Maire de Bohain (03/2008 à aujourd'hui)","24964,8 EUR par an","2080,40 EUR par mois"
"Jean-Louis Carrère","pro5",,"Conseiller régional d'Aquitaine 1er Vice Président (Fin du mandat 21/03/2010)","22800 EUR par an",
"Jean-Louis Christ","pro5",,,,
"Jean-Louis Costes","pro5",,,,
"Jean-Louis Destans","pro5",,,,
"Jean-Louis Dumont","pro5",,,,
"Jean-Louis Gagnaire","pro5",,,,
"Jean-Louis Masson","pro5",,,,
"Jean-Louis Roumegas","pro5",,,,
"Jean-Louis Touraine","pro5",,"Praticien Hospitalier","41952 EUR par an","Temps partiel"
"Jean-Louis Touraine","pro5",,"Professeur de Médecine","53892 EUR par an","NÉANT"
"Jean-Louis Tourenne","pro5",,,,
"Jean-Luc Bleunven","pro5",,"Agriculteur","2012 : 14164 EUR","Bénéfice agricole "
"Jean-Luc Laurent","pro5",,,,
"Jean-Luc Reitzer","pro5",,,,
"Jean-Luc Warsmann","pro5",,,,
"Jean-Marc Ayrault","pro5",,,,
"Jean-Marc Fournel","pro5",,"Employé SNCF","105000 EUR par an ",
"Jean-Marc Gabouty","pro5",,,,
"Jean-Marc Germain","pro5",,"Directeur de cabinet Lille Métropole (temps partiel) [jusqu'au 19/06/2012]","54000 EUR par an",
"Jean-Marc Germain","pro5",,"Directeur de cabinet  parti Socialiste (temps partiel)  [Jusqu'au 30/11/2012]","49200 EUR par an","4 100  EUR par  mois"
"Jean-Marc Germain","pro5",,"Directeur de cabinet Lille Métropole (temps partiel) [jusqu'au 19/06/2012]","54000 EUR par an","4 500  EUR par  mois"
"Jean-Marie Beffara","pro5",,"Collaborateur parlementaire","32736 EUR par an","2728 EUR par mois"
"Jean-Marie Bockel","pro5",,,,
"Jean-Marie Morisset","pro5",,"Député de 2007 à 2012",,
"Jean-Marie Tetart","pro5",,"Activités ponctuelles d'enseignement","1500 EUR par an","2008 : < 1500 2009 : < 1500 2010 : < 1500 2011 : < 1500 2012 : < 1500"
"Jean-Marie Tetart","pro5",,"Fonctionnaire IGPEF","2008 : 91445 EUR","montants imposables"
"Jean-Marie Tetart","pro5",,"Fonctionnaire IGPEF","2009 : 92935 EUR","montants imposables"
"Jean-Marie Tetart","pro5",,"Fonctionnaire IGPEF","2010 : 97500 EUR","montants imposables"
"Jean-Marie Tetart","pro5",,"Fonctionnaire IGPEF","2011 : 96817 EUR","montants imposables"
"Jean-Marie Tetart","pro5",,"Fonctionnaire IGPEF"," 2012 : 73110 EUR","montants imposables"
"Jean-Marie Vanlerenberghe","pro5",,,,
"Jean-Michel Clément","pro5",,"Avocat","2012 : 5 544 EUR ","résultat BNC (déclaration 2035)"
"Jean-Michel Clément","pro5",,"Avocat","2011 : -9 993 EUR ","résultat BNC (déclaration 2035)"
"Jean-Michel Clément","pro5",,"Avocat","2010 : 6369 EUR ","résultat BNC (déclaration 2035)"
"Jean-Michel Clément","pro5",,"Avocat","2009: -17712 EUR ","résultat BNC (déclaration 2035)"
"Jean-Michel Clément","pro5",,"Avocat","2008 : 9459 EUR","résultat BNC (déclaration 2035)"
"Jean-Michel Couve","pro5",,,,
"Jean-Michel Villaumé","pro5",,,,
"Jean-Noël Cardoux","pro5",,,,
"Jean-Noël Carpentier","pro5",,"Cadre commercial auprès de la société BERIM","Salaires nets : 2009 : 30 867 2010 : 30 889 2011 : 20 025 (mi-temps à partir du 1er janvier) 2012 : 8 527 (mi-temps et contrat suspendu fin juin) 2013 : néant",
"Jean-Noël Guérini","pro5",,,,
"Jeanny Lorgeoux","pro5",,,,
"Jean-Patrick Gille","pro5",,,,
"Jean-Paul Bacquet","pro5",,,,
"Jean-Paul Chanteguet","pro5",,,,
"Jean-Paul Dupré","pro5",,,,
"Jean-Paul Emorine","pro5",,,,
"Jean-Paul Fournier","pro5",,,,
"Jean-Paul Tuaiva","pro5",,"Gérant de sociétés - AU MIL DELICES EURL - JP DONUTS SARL - SCI  SCI - BEARD PAPA EURL (mise en sommeil le 31.12.2011) - JP CONSTRUCTION (de 2009 à 2012, radiée le 31.12.2012)","2009 : 37710 EUR","DE 2009 à 2013 4 500 000 xpf 27 900 000 xpf 960 000 xpf 7 200 000 xpf 9 500 000 xpf"
"Jean-Paul Tuaiva","pro5",,"Gérant de sociétés - AU MIL DELICES EURL - JP DONUTS SARL - SCI  SCI - BEARD PAPA EURL (mise en sommeil le 31.12.2011) - JP CONSTRUCTION (de 2009 à 2012, radiée le 31.12.2012)","2010 : 233802 EUR","DE 2009 à 2013 4 500 000 xpf 27 900 000 xpf 960 000 xpf 7 200 000 xpf 9 500 000 xpf"
"Jean-Paul Tuaiva","pro5",,"Gérant de sociétés - AU MIL DELICES EURL - JP DONUTS SARL - SCI  SCI - BEARD PAPA EURL (mise en sommeil le 31.12.2011) - JP CONSTRUCTION (de 2009 à 2012, radiée le 31.12.2012)","2011 : 8044,80 EUR","DE 2009 à 2013 4 500 000 xpf 27 900 000 xpf 960 000 xpf 7 200 000 xpf 9 500 000 xpf"
"Jean-Paul Tuaiva","pro5",,"Gérant de sociétés - AU MIL DELICES EURL - JP DONUTS SARL - SCI  SCI - BEARD PAPA EURL (mise en sommeil le 31.12.2011) - JP CONSTRUCTION (de 2009 à 2012, radiée le 31.12.2012)","2012 : 60336 EUR","DE 2009 à 2013 4 500 000 xpf 27 900 000 xpf 960 000 xpf 7 200 000 xpf 9 500 000 xpf"
"Jean-Paul Tuaiva","pro5",,"Gérant de sociétés - AU MIL DELICES EURL - JP DONUTS SARL - SCI  SCI - BEARD PAPA EURL (mise en sommeil le 31.12.2011) - JP CONSTRUCTION (de 2009 à 2012, radiée le 31.12.2012)","2013 : 79610 EUR","DE 2009 à 2013 4 500 000 xpf 27 900 000 xpf 960 000 xpf 7 200 000 xpf 9 500 000 xpf"
"Jean-Philippe Nilor","pro5",,"Collaborateur parlementaire","28800 EUR par an","2400,00 EUR (mensuel)"
"Jean-Pierre Allossery","pro5",,,,
"Jean-Pierre Barbier","pro5",,"Pharmacien d'officine ","2009 : 69996 EUR par an ",
"Jean-Pierre Barbier","pro5",,"Pharmacien d'officine ","2010 : 72146 EUR par an ",
"Jean-Pierre Barbier","pro5",,"Pharmacien d'officine ","2011 : 70516 EUR par an ",
"Jean-Pierre Barbier","pro5",,"Pharmacien d'officine ","2012 : 36900 EUR par an ",
"Jean-Pierre Barbier","pro5",,"Pharmacien d'officine ","2013 : 13500 EUR par an ",
"Jean-Pierre Blazy","pro5",,"Professeur agrégé en détachement",,
"Jean-Pierre Bosino","pro5",,,,
"Jean-Pierre Caffet","pro5",,,,
"Jean-Pierre Cantegrit","pro5",,"Chargé des relations extérieures du Groupe Castel","72 881,64 EUR",
"Jean-Pierre Decool","pro5",,,,
"Jean-Pierre Door","pro5",,,,
"Jean-Pierre Dufau","pro5",,,,
"Jean-Pierre Giran","pro5",,"Professeur des universités","55200 EUR par an","4600 EUR par mois"
"Jean-Pierre Godefroy","pro5",,,,
"Jean-Pierre Gorges","pro5",,,,
"Jean-Pierre Grand","pro5",,"Gérant SCI familiale","348314 EUR par an ","Dividendes"
"Jean-Pierre Le Roch","pro5",,,,
"Jean-pierre Leleux","pro5",,,,
"Jean-Pierre Maggi","pro5",,,,
"Jean-Pierre Masseret","pro5",,"Retraité sénat","101880 EUR par an ","(idem onglet 2)"
"Jean-Pierre Raffarin","pro5",,"Conférences","2014 : 42800 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Conférences","2013 : 78500 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Conférences","2012 : 69680 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Conférences","2011 : 75600 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Conférences","2010 : 40214 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Droits d'auteur","2014 : 15000 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Droits d'auteur","2013 : 52500 EUR par an",
"Jean-Pierre Raffarin","pro5",,"Droits d'auteur","2012 : 43291 EUR par an",
